player_id,player_name,season,league,team,role,age,ip,g,gs,k_pct,bb_pct,hr_fb,era,fip,home_pa,road_pa,home_era,road_era,park_id,source,is_synthetic
kbo-60841,bakjonghun,2019,KBO,SK,pitcher,27.0,144.0,28.0,0.0,0.1555209953343701,0.0917573872472783,0.0764331210191082,3.88,4.294444444444444,321.5,321.5,3.88,3.88,SK,kbo-official,False
kbo-name-reilri,reilri,2019,KBO,rotde,pitcher,27.0,181.0,30.0,0.0,0.1769911504424778,0.0834386852085967,0.0523560209424083,3.88,3.48121546961326,395.5,395.5,3.88,3.88,롯데,kbo-official,False
kbo-69045,alkantara,2019,KBO,KT,pitcher,27.0,172.0,27.0,0.0,0.1381215469613259,0.037292817679558,0.0793650793650793,4.01,3.6813953488372095,362.0,362.0,4.01,4.01,KT,kbo-official,False
kbo-77211,iyongchan,2019,KBO,dusan,pitcher,27.0,148.0,26.0,0.0,0.1566820276497695,0.0737327188940092,0.0892857142857142,4.07,4.072972972972973,325.5,325.5,4.07,4.07,두산,kbo-official,False
kbo-name-chauchan,chauchan,2019,KBO,LG,pitcher,27.0,168.0,29.0,0.0,0.1698630136986301,0.0808219178082191,0.0883977900552486,4.12,4.004761904761905,365.0,365.0,4.12,4.12,LG,kbo-official,False
kbo-77446,baekjeonghyeon,2019,KBO,samseong,pitcher,27.0,157.0,28.0,0.0,0.121122599704579,0.0827178729689808,0.1075949367088607,4.24,4.647770700636943,338.5,338.5,4.24,4.24,삼성,kbo-official,False
kbo-name-daikson,daikson,2019,KBO,rotde,pitcher,27.0,149.0,29.0,0.0,0.1802773497688752,0.0631741140215716,0.0914634146341463,4.34,3.764429530201342,324.5,324.5,4.34,4.34,롯데,kbo-official,False
kbo-name-wilraendeu,wilraendeu,2019,KBO,KIA,pitcher,27.0,165.0,28.0,0.0,0.1887052341597796,0.0826446280991735,0.0890052356020942,4.75,3.9424242424242415,363.0,363.0,4.75,4.75,KIA,kbo-official,False
kbo-name-yunseonghwan,yunseonghwan,2019,KBO,samseong,pitcher,27.0,145.0,27.0,0.0,0.1010886469673405,0.077760497667185,0.0833333333333333,4.77,4.637931034482759,321.5,321.5,4.77,4.77,삼성,kbo-official,False
kbo-68043,gimmin,2019,KBO,KT,pitcher,27.0,150.0,27.0,0.0,0.1350148367952522,0.0964391691394658,0.0914285714285714,4.96,4.653333333333333,337.0,337.0,4.96,4.96,KT,kbo-official,False
kbo-name-teoneo,teoneo,2019,KBO,KIA,pitcher,27.0,153.0,28.0,0.0,0.1694677871148459,0.0812324929971988,0.0670391061452514,5.46,4.008496732026144,357.0,357.0,5.46,5.46,KIA,kbo-official,False
kbo-name-yokisi,yokisi,2020,KBO,kium,pitcher,27.0,159.0,27.0,0.0,0.1796875,0.0390625,0.0416666666666666,2.14,2.728930817610063,320.0,320.0,2.14,2.14,키움,kbo-official,False
kbo-name-seuteureilri,seuteureilri,2020,KBO,rotde,pitcher,27.0,194.0,31.0,0.0,0.2638352638352638,0.0656370656370656,0.0675675675675675,2.5,2.5536082474226807,388.5,388.5,2.5,2.5,롯데,kbo-official,False
kbo-name-beurukseu,beurukseu,2020,KBO,KIA,pitcher,27.0,151.0,23.0,0.0,0.2218430034129692,0.0409556313993174,0.0305343511450381,2.5,2.2589403973509934,293.0,293.0,2.5,2.5,KIA,kbo-official,False
kbo-69045,alkantara,2020,KBO,dusan,pitcher,27.0,198.0,31.0,0.0,0.2289308176100629,0.0377358490566037,0.0689655172413793,2.54,2.6404040404040403,397.5,397.5,2.54,2.54,두산,kbo-official,False
kbo-name-ruchinseuki,ruchinseuki,2020,KBO,NC,pitcher,27.0,183.0,30.0,0.0,0.2168831168831168,0.074025974025974,0.0809248554913294,3.05,3.384153005464481,385.0,385.0,3.05,3.05,NC,kbo-official,False
kbo-name-kelri,kelri,2020,KBO,LG,pitcher,27.0,173.0,28.0,0.0,0.1900709219858156,0.0567375886524822,0.1,3.32,3.63757225433526,352.5,352.5,3.32,3.32,LG,kbo-official,False
kbo-name-byukaeneon,byukaeneon,2020,KBO,samseong,pitcher,27.0,174.0,27.0,0.0,0.1662087912087912,0.0686813186813186,0.0930232558139534,3.45,3.88735632183908,364.0,364.0,3.45,3.45,삼성,kbo-official,False
kbo-68419,choejimyeong,2020,KBO,samseong,pitcher,27.0,146.0,26.0,0.0,0.1993517017828201,0.0826580226904376,0.0916030534351145,3.58,3.675342465753425,308.5,308.5,3.58,3.58,삼성,kbo-official,False
